#,pic,Digimon,Stage,Attribute,Memory,Equip Slots,HP,SP,ATK,DEF,INT,SPD
1,,Kuramon,Baby,Neutral,2,0,590,77,79,69,68,95
2,,Pabumon,Baby,Neutral,2,0,950,62,76,76,69,68
3,,Punimon,Baby,Neutral,2,0,870,50,97,87,50,75
4,,Botamon,Baby,Neutral,2,0,690,68,77,95,76,61
5,,Poyomon,Baby,Neutral,2,0,540,98,54,59,95,86
6,,Arcadiamon In-Tr.,In-Training,Dark,3,0,720,85,86,59,81,93
7,,Koromon,In-Training,Fire,3,0,940,52,109,93,52,76
8,,Tanemon,In-Training,Plant,3,0,1030,64,85,82,73,69
9,,Tsunomon,In-Training,Earth,3,0,930,54,107,92,54,76
10,,Tsumemon,In-Training,Dark,3,0,930,64,108,64,54,93
11,,Tokomon,In-Training,Neutral,3,0,640,86,76,74,74,103
12,,Nyaromon,In-Training,Light,3,0,540,107,54,64,103,94
13,,Pagumon,In-Training,Dark,3,0,550,103,60,63,102,93
14,,Yokomon,In-Training,Plant,3,0,1040,64,82,82,75,69
15,,Bukamon,In-Training,Water,3,0,830,93,54,74,103,69
16,,Motimon,In-Training,Neutral,3,0,1030,63,82,81,78,69
17,,Wanyamon,In-Training,Wind,3,0,830,82,79,75,75,82
18,,Agumon,Rookie,Fire,5,1,1030,59,131,103,54,86
19,,Agumon (Blk),Rookie,Fire,5,1,1020,56,124,108,56,85
20,,Arcadiamon Rookie,Rookie,Dark,5,1,950,86,105,79,85,86
21,,Armadillomon,Rookie,Earth,4,1,1160,85,67,111,65,72
22,,Impmon,Rookie,Dark,5,1,530,114,83,65,114,102
23,,Elecmon,Rookie,Electric,4,1,930,93,82,79,79,90
24,,Otamamon,Rookie,Water,4,1,930,105,52,75,113,78
25,,Gaomon,Rookie,Neutral,5,1,1030,69,118,74,66,101
26,,Gazimon,Rookie,Dark,4,1,970,71,123,64,59,102
27,,Gabumon,Rookie,Fire,5,1,980,88,94,81,79,91
28,,Gabumon (Blk),Rookie,Fire,5,1,950,83,99,89,74,91
29,,Guilmon,Rookie,Fire,5,1,1050,69,133,74,54,101
30,,Kudamon,Rookie,Light,5,1,590,128,53,74,117,105
31,,Keramon,Rookie,Dark,5,1,1030,74,123,69,61,101
32,,Gotsumon,Rookie,Earth,5,1,790,79,93,118,90,72
33,,Goblimon,Rookie,Earth,4,1,1050,51,115,110,51,84
34,,Gomamon,Rookie,Water,5,1,1160,69,93,93,81,79
35,,Syakomon,Rookie,Water,4,1,870,100,53,86,112,78
36,,Zubamon,Rookie,Neutral,5,1,1010,57,126,111,54,87
37,,Solarmon,Rookie,Light,4,1,1030,88,69,108,71,77
38,,Chuumon,Rookie,Earth,4,1,700,91,87,73,85,111
39,,Terriermon,Rookie,Wind,4,1,690,93,84,75,84,112
40,,Tentomon,Rookie,Plant,4,1,750,79,86,110,93,73
41,,ToyAgumon,Rookie,Neutral,4,1,1110,87,72,112,63,71
42,,Dracmon,Rookie,Dark,5,1,870,81,108,88,83,84
43,,Dracomon,Rookie,Fire,5,1,980,69,132,89,49,99
44,,Dorumon,Rookie,Neutral,5,1,1020,65,128,79,56,101
45,,Hagurumon,Rookie,Electric,4,1,1090,91,66,110,69,71
46,,Patamon,Rookie,Wind,4,1,880,93,79,74,92,90
47,,Hackmon,Rookie,Fire,5,1,1030,59,118,108,63,85
48,,Palmon,Rookie,Plant,5,1,1140,65,103,90,80,79
49,,DemiDevimon,Rookie,Dark,4,1,650,87,89,76,89,111
50,,Biyomon,Rookie,Wind,4,1,830,93,85,79,85,91
51,,Falcomon,Rookie,Wind,5,1,740,93,94,79,79,113
52,,FanBeemon,Rookie,Plant,4,1,860,69,104,86,73,98
53,,Veemon,Rookie,Neutral,5,1,1040,74,130,74,53,101
54,,Salamon,Rookie,Light,4,1,540,118,59,69,119,97
55,,Betamon,Rookie,Water,4,1,870,101,61,76,113,78
56,,Hawkmon,Rookie,Wind,5,1,690,88,99,79,83,114
57,,Mushroomon,Rookie,Plant,4,1,1110,64,96,88,79,78
58,,Monodramon,Rookie,Neutral,4,1,1040,54,128,100,51,79
